Timestamp,What is your sex? (don't mean to offend) // Cual es tu sexo? (Sin ofender),How old are you? (Just write the number of years) // Cuantos anios tienes? (Solo escribe el número de anios),Do you have any children? // Tienes hijos? ,Do you smoke? // Fumas? ,Where are you from? (Country) // De donde eres? (Pais),Where do you live now? (Country) // Donde vives ahora? (Pais),Have you studied abroad? // Has estudiado en el extranjero?,"If you answered 'yes' before, write the country where you studied. // Si seleccionaste que si en la pregunta anterior, escribe en que pais estudiaste.",What is your latest degree? (Even if you just started) // Cual es tu último grado de estudios? (Incluso si acabas de empezarlo),What is your Bachelor's degree area? // Cual es el area de tus estudios de Licenciatura?,"From 1 to 10, how much did you enjoy your Bachelor's studies? // Del 1 al 10, cuanto disfrutaste tus estudios de Licenciatura?",Do you currently work on something related to your Bachelor's studies? // Actualmente trabajas en algo relacionado con tus estudios de licenciatura?,"If previous answer was 'yes', how much do you enjoy working there? // Si la respuesta anterior fue si, cuanto disfrutas trabajar ahi?","Think about your top 3 hobbies, select all that apply. // Piensa en tus 3 pasatiempos favoritos, selecciona todas las que apliquen. ","About your favorite hobby, how often do you practice it? // De tu pasatiempo favorito, que tan seguido lo practicas? ","About your favorite hobby, how much do you enjoy it? // De tu pasatiempo favorito, que tanto lo disfrutas? ",Do you consider that you don't have enough time to practice your favorite hobby? // Consideras que no tienes el tiempo suficiente para practicar tu pasatiempo favorito?
8/2/2017 8:51:54,Male,39,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,10,No,,"Sports // Deportes, With friends // Con amigos, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 9:02:43,Male,28,No,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,9,Yes,7,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Cine",Once or twice a week // una o dos veces a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 9:12:55,Fem,46,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,10,Yes,10,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Familia ",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 9:13:30,Male,36,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,8,No,1,"Sports // Deportes, Stay at home // Quedarme en casa, Pet // Mascota",Once a month // una vez al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 9:18:46,Fem,45,Yes,No,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Stay at home // Quedarme en casa, Mall // Centro comercial, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 9:28:16,Fem,51,Yes,No,Mexico,USA,No,,Less than high school // Secundaria o menor,,,,,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Ver tv",Diario,10,"No, it's enough // No, asi es suficiente"
8/2/2017 9:43:25,Fem,35,No,No,Mexico,Mexico,Yes,USA,Masters // Maestria,Engineering and Technology // Ingenieria y Tecnologia,8,No,8,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos, Mall // Centro comercial, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/2/2017 10:19:34,Fem,55,Yes,No,Mexico ,Mexico ,No,,Bachelor // Licenciatura,Social Sciences // Ciencias Sociales,10,Yes,10,"Outdoors // Exteriores, With friends // Con amigos, Pet // Mascota",Twice a month // dos veces al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 10:25:07,Fem,41,Yes,Yes,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, With friends // Con amigos, Mall // Centro comercial",Twice a month // dos veces al mes,1,"No, it's enough // No, asi es suficiente"
8/2/2017 10:39:38,Fem,46,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,10,"No, but I work on something else // No, pero trabajo en algo mas",9,"Stay at home // Quedarme en casa, With friends // Con amigos, Pet // Mascota",Once or twice a week // una o dos veces a la semana,9,"No, it's enough // No, asi es suficiente"
8/2/2017 11:09:42,Fem,54,Yes,Yes,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Sports // Deportes, Stay at home // Quedarme en casa, Mall // Centro comercial",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 11:26:52,Fem,41,Yes,No,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Stay at home // Quedarme en casa, With friends // Con amigos, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,8,"No, it's enough // No, asi es suficiente"
8/2/2017 12:13:26,Fem,26,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",8,No,1,"Stay at home // Quedarme en casa, Videogames // Videojuegos",3 or more times a week // 3 veces o mas a la semana,7,"No, it's enough // No, asi es suficiente"
8/2/2017 12:18:46,Fem,54,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Education and Training // Educacion y Entrenamiento,8,Yes,10,"Outdoors // Exteriores, With friends // Con amigos, Party // Fiesta",Once a month // una vez al mes,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 13:02:48,Fem,27,Yes,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Videogames // Videojuegos, With friends // Con amigos, Mall // Centro comercial, Party // Fiesta",Once a month // una vez al mes,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 13:24:10,Fem,26,No,No,Germany,Germany,Yes,Argentina,Masters // Maestria,Natural Sciences and Mathematics // Ciencias Naturales y Matematicas,7,Yes,10,"Outdoors // Exteriores, With friends // Con amigos, Pet // Mascota",Twice a month // dos veces al mes,10,"No, it's enough // No, asi es suficiente"
8/2/2017 13:33:40,Fem,31,Yes,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,High School // Preparatoria,,,,,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Mall // Centro comercial, Pet // Mascota, Party // Fiesta",Once or twice a week // una o dos veces a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 13:43:13,Fem,41,Yes,Yes,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Videogames // Videojuegos, With friends // Con amigos",Once a month // una vez al mes,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 13:43:21,Fem,33,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,8,Yes,8,"Stay at home // Quedarme en casa, With friends // Con amigos, Pet // Mascota, Party // Fiesta",Once or twice a week // una o dos veces a la semana,8,"No, it's enough // No, asi es suficiente"
8/2/2017 13:45:39,Fem,33,Yes,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Outdoors // Exteriores, Stay at home // Quedarme en casa, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 14:31:23,Fem,43,Yes,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Mall // Centro comercial, Manualidades ",3 or more times a week // 3 veces o mas a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 15:22:11,Fem,65,Yes,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Mall // Centro comercial",Once a month // una vez al mes,10,"No, it's enough // No, asi es suficiente"
8/2/2017 15:30:22,Male,22,No,No,Mexico,Mexico,Yes,Spain,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,10,Yes,10,"Sports // Deportes, With friends // Con amigos, Study // Estudiar",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 16:35:22,Male,34,Yes,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Sports // Deportes, With friends // Con amigos, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/2/2017 16:39:18,Fem,23,Yes,Yes,Mexico,Mexico,No,,Bachelor // Licenciatura,Business and Management // Negocios y Administracion,10,Yes,10,"Just me // Solo yo, Party // Fiesta, Leer",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 16:48:38,Fem,24,No,No,Spain,Spain,Yes,France,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,6,Yes,8,"Outdoors // Exteriores, Sports // Deportes, Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos, Party // Fiesta",Once or twice a week // una o dos veces a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 17:35:23,Male,40,No,No,Mexico,Mexico,No,,PhD // Doctorado,Natural Sciences and Mathematics // Ciencias Naturales y Matematicas,9,Yes,9,"Outdoors // Exteriores, Stay at home // Quedarme en casa, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,8,"No, it's enough // No, asi es suficiente"
8/2/2017 17:39:03,Fem,48,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,Yes,UK,Bachelor // Licenciatura,Journalism and Media // Periodismo y Medios de Comunicacion,9,"No, but I have // No, pero si he trabajado",,"Outdoors // Exteriores, Sports // Deportes, Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, With friends // Con amigos, Study // Estudiar, Party // Fiesta, Pintar, rompecabezas, ",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 18:41:08,Male,44,Yes,No,Mexico,Mexico,No,,Masters // Maestria,Engineering and Technology // Ingenieria y Tecnologia,8,No,,"Sports // Deportes, Stay at home // Quedarme en casa, Just me // Solo yo",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 19:53:46,Male,22,No,No,Mexico,Mexico,Yes,Sweden,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,5,Yes,4,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, With friends // Con amigos, Mall // Centro comercial, Study // Estudiar",3 or more times a week // 3 veces o mas a la semana,6,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 20:15:00,Fem,23,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,7,"No, but I work on something else // No, pero trabajo en algo mas",,"Stay at home // Quedarme en casa, Videogames // Videojuegos, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/2/2017 20:21:03,Male,21,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,9,Yes,8,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo, Masturbating while watching some weird stuff",3 or more times a week // 3 veces o mas a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 20:22:47,Fem,22,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,"Arts, Design and Architecture // Artes, Disenio y Arquitectura",7,"No, but I have // No, pero si he trabajado",5,"Stay at home // Quedarme en casa, With friends // Con amigos, Pet // Mascota",Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 20:40:13,Fem,22,No,No,Mexico,Mexico,Yes,Germany,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,10,"No, but I have // No, pero si he trabajado",7,"Sports // Deportes, With friends // Con amigos, Study // Estudiar",3 or more times a week // 3 veces o mas a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 20:52:39,Fem,22,No,Yes,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Just me // Solo yo, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/2/2017 21:08:26,Fem,22,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,8,No,,"Outdoors // Exteriores, Stay at home // Quedarme en casa, Just me // Solo yo",3 or more times a week // 3 veces o mas a la semana,5,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 22:08:25,Fem,54,Yes,Yes,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Sports // Deportes, Stay at home // Quedarme en casa, Mall // Centro comercial",Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/2/2017 23:54:21,Male,23,No,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Computer Science and IT // Ciencias de la computacion y TI,10,Yes,10,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,8,"Yes, I need more time // Si,  necesito mas tiempo"
8/3/2017 9:19:03,Fem,50,Yes,No,Mexico,Mexico,No,Mexico,Less than high school // Secundaria o menor,,,,,"Party // Fiesta, Bailar",Once or twice a week // una o dos veces a la semana,10,"No, it's enough // No, asi es suficiente"
8/3/2017 10:29:30,Fem,54,Yes,Yes,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Sports // Deportes, Stay at home // Quedarme en casa, Mall // Centro comercial",Once or twice a week // una o dos veces a la semana,10,"Yes, I need more time // Si,  necesito mas tiempo"
8/3/2017 10:57:49,Male,26,No,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"With friends // Con amigos, Party // Fiesta",Once or twice a week // una o dos veces a la semana,6,"No, it's enough // No, asi es suficiente"
8/3/2017 11:35:38,Male,25,Yes,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,High School // Preparatoria,,,,,"Outdoors // Exteriores, With friends // Con amigos, Party // Fiesta",Once or twice a week // una o dos veces a la semana,8,"No, it's enough // No, asi es suficiente"
8/3/2017 14:08:53,Fem,42,Yes,No,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Mall // Centro comercial, Party // Fiesta",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/3/2017 18:03:29,Fem,21,No,"Not right now, but I have // No ahora, pero lo he hecho",Mexico,Mexico,No,,Bachelor // Licenciatura,Engineering and Technology // Ingenieria y Tecnologia,7,Yes,7,"Sports // Deportes, Stay at home // Quedarme en casa, With friends // Con amigos",Once or twice a week // una o dos veces a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/3/2017 19:04:17,Fem,12,No,No,Mexico,Mexico,No,,Less than high school // Secundaria o menor,,,,,"Sports // Deportes, Videogames // Videojuegos, With friends // Con amigos",3 or more times a week // 3 veces o mas a la semana,9,"Yes, I need more time // Si,  necesito mas tiempo"
8/3/2017 20:34:37,Male,22,No,Yes,Mexico,Mexico,No,,High School // Preparatoria,,,,,"Stay at home // Quedarme en casa, Videogames // Videojuegos, Just me // Solo yo",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
8/4/2017 4:01:32,Fem,23,No,No,The Netherlands,The Netherlands,Yes,Sweden,Masters // Maestria,Natural Sciences and Mathematics // Ciencias Naturales y Matematicas,9,Yes,8,"Videogames // Videojuegos, With friends // Con amigos, Music",3 or more times a week // 3 veces o mas a la semana,9,"No, it's enough // No, asi es suficiente"
8/5/2017 21:26:16,Fem,47,Yes,No,Mexico,Mexico,No,,Bachelor // Licenciatura,Medicine and Health // Medicina y Salud,10,Yes,10,"Stay at home // Quedarme en casa, Just me // Solo yo, Pet // Mascota",3 or more times a week // 3 veces o mas a la semana,10,"No, it's enough // No, asi es suficiente"
